Authors,;Title,;Year;DOI;Link;QUIEN;FOREST_SI_NO;ESTADISTICO_SI_NO;METHODOLOGY_1;FOREST_RESPONSE_1;PARAMETER;
"Oliveira de Morais T.M.; Berenguer E.; Barlow J.; França F.; Lennox G.D.; Malhi Y.; Chesini Rossi L.; Maria Moraes de Seixas M.; Ferreira J.,";Leaf-litter production in human-modified Amazonian forests following the El Niño-mediated drought and fires of 2015–2016,;2021;10.1016/j.foreco.2021.119441;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109170353&doi=10.1016%2fj.foreco.2021.119441&partnerID=40&md5=292bf068ef6408f57f325ea02daa7996;Paloma;SI;SI;Field study;Biomass stocks and fluxes;Periods-Years-Interaction;
"Dalsgaard L.; Mikkelsen T.N.; Bastrup-Birk A.,";Sap flow for beech (Fagus sylvatica L.) in a natural and a managed forest - Effect of spatial heterogeneity,;2011;10.1093/jpe/rtq037;https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952687019&doi=10.1093%2fjpe%2frtq037&partnerID=40&md5=785fbcf7869d9ba05281a33cb7faaebb;Xavi;SI;SI;Field study;Physiology;Periods-Years-Interaction;
"Mclaren K.; Monroe S.; Wilson D.B.,";The Arctic oscillation, climatic variability, and biotic factors influenced seedling dynamics in a Caribbean moist forest,;2016;10.1002/ecy.1448;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985993395&doi=10.1002%2fecy.1448&partnerID=40&md5=a96cbc5a256731b8d7d7309825f8e2ab;Xavi;SI ;SI;Field study;Demography;Periods-Years-Interaction;
"Mueller R.C.; Scudder C.M.; Whitham T.G.; Gehring C.A.,";Legacy effects of tree mortality mediated by ectomycorrhizal fungal communities,;2019;10.1111/nph.15993;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068798519&doi=10.1111%2fnph.15993&partnerID=40&md5=03c4d3702a045c1759dadc96f45f2f23;Cesar;SI;SI;Field study;Tree growth;Periods-Years-Interaction;
"Ma J.; Jia X.; Zha T.; Bourque C.P.-A.; Tian Y.; Bai Y.; Liu P.; Yang R.; Li C.; Li C.; Xie J.; Yu H.; Zhang F.; Zhou C.,";Ecosystem water use efficiency in a young plantation in Northern China and its relationship to drought,;2019;10.1016/j.agrformet.2019.05.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065543989&doi=10.1016%2fj.agrformet.2019.05.004&partnerID=40&md5=d47211abcac2c7af1196dc046e451f10;Julen;SI;SI;Eddy covariance;Biomass stocks and fluxes;Periods-Years-Interaction;
"Oogathoo S.; Houle D.; Duchesne L.; Kneeshaw D.,";Vapour pressure deficit and solar radiation are the major drivers of transpiration of balsam fir and black spruce tree species in humid boreal regions, even during a short-term drought,;2020;10.1016/j.agrformet.2020.108063;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086410200&doi=10.1016%2fj.agrformet.2020.108063&partnerID=40&md5=474fb81bbc448f23d1b874032f249799;Cesar;SI;SI;Field study;Physiology;Periods-Years-Interaction;
"McDowell N.G.; Phillips N.; Lunch C.; Bond B.J.; Ryan M.G.,";An investigation of hydraulic limitation and compensation in large, old Douglas-fir trees,;2002;10.1093/treephys/22.11.763;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036668175&doi=10.1093%2ftreephys%2f22.11.763&partnerID=40&md5=6a36a2d689fb761440e8bde6a8458e52;Xavi;SI;SI;Field study;Physiology;Periods-Years-Interaction;
"Marchand W.; Buechling A.; Rydval M.; ?ada V.; Stegehuis A.I.; Fruleux A.; Polá?ek M.; Hofmeister J.; Pavlin J.; Ralhan D.; Dušátko M.; Janda P.; Mikoláš M.; Vostarek O.; Ba?e R.; Frankovi? M.; Kozák D.; Roibu C.-C.; Chaskovskyy O.; Mikac S.; Zlatanov T.; Panayotov M.; Diku A.; Toromani E.; Svoboda M.,";Accelerated growth rates of Norway spruce and European beech saplings from Europe's temperate primary forests are related to warmer conditions,;2023;10.1016/j.agrformet.2022.109280;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145290685&doi=10.1016%2fj.agrformet.2022.109280&partnerID=40&md5=a440f181213065a4a2e667d9f5b36a3a;Paloma;SI;SI;Dendrochronology;Tree growth;Periods-Years-Interaction;
"Chen L.; Hänninen H.; Rossi S.; Smith N.G.; Pau S.; Liu Z.; Feng G.; Gao J.; Liu J.,";Leaf senescence exhibits stronger climatic responses during warm than during cold autumns,;2020;10.1038/s41558-020-0820-2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087643833&doi=10.1038%2fs41558-020-0820-2&partnerID=40&md5=cc43b6c8f900c7ffd874a06040f12035;Cesar;SI;SI;Other;Phenology;Periods-Years-Interaction;
"Bastos A.; Orth R.; Reichstein M.; Ciais P.; Viovy N.; Zaehle S.; Anthoni P.; Arneth A.; Gentine P.; Joetzjer E.; Lienert S.; Loughran T.; McGuire P.C.; Sungmin O.; Pongratz J.; Sitch S.,";Vulnerability of European ecosystems to two compound dry and hot summers in 2018 and 2019,;2021;10.5194/esd-12-1015-2021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117412433&doi=10.5194%2fesd-12-1015-2021&partnerID=40&md5=e3203cf9736802497cc987fcec0d927a;Paloma;SI;SI;Remote sensing;Vegetation activity;Periods-Years-Interaction;
"D'Odorico P.; Schönbeck L.; Vitali V.; Meusburger K.; Schaub M.; Ginzler C.; Zweifel R.; Velasco V.M.E.; Gisler J.; Gessler A.; Ensminger I.,";Drone-based physiological index reveals long-term acclimation and drought stress responses in trees,;2021;10.1111/pce.14177;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114770673&doi=10.1111%2fpce.14177&partnerID=40&md5=81c71756da4019ad057aab91b2a69cc1;Xavi;SI ;SI ;Experimental;Vegetation activity;Periods-Years-Interaction;
"Luo H.; Zhou T.; Yu P.; Yi C.; Liu X.; Zhang Y.; Zhou P.; Zhang J.; Xu Y.,";The forest recovery path after drought dependence on forest type and stock volume,;2022;10.1088/1748-9326/ac57e5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129643910&doi=10.1088%2f1748-9326%2fac57e5&partnerID=40&md5=094adb4ac8f7fd14f5a06cffa13ed09f;Xavi;SI ;SI;Remote sensing;Vegetation activity;Observed-predicted;
"Dong B.; Yu Y.; Pereira P.,";Non-growing season drought legacy effects on vegetation growth in southwestern China,;2022;10.1016/j.scitotenv.2022.157334;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134827981&doi=10.1016%2fj.scitotenv.2022.157334&partnerID=40&md5=b2ba55cf11ccc0ccc407f6c6c05e8cd8;Paloma;SI;SI;Remote sensing;Vegetation activity;Observed-predicted;
"Jiao T.; Williams C.A.; De Kauwe M.G.; Medlyn B.E.,";Limited Evidence of Cumulative Effects From Recurrent Droughts in Vegetation Responses to Australia's Millennium Drought,;2023;10.1029/2022JG006818;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160410309&doi=10.1029%2f2022JG006818&partnerID=40&md5=a12a6f023d85c205398fcf7218e71d59;Xavi;SI;SI;Remote sensing;Vegetation activity;Other;
"Han H.; Jian H.; Liu M.; Lei S.; Yao S.; Yan F.,";Impacts of drought and heat events on vegetative growth in a typical humid zone of the middle and lower reaches of the Yangtze River, China,;2023;10.1016/j.jhydrol.2023.129452;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151807911&doi=10.1016%2fj.jhydrol.2023.129452&partnerID=40&md5=e045c0e757bbad5e86cee4544daf3291;Xavi;SI;SI;Remote sensing;Vegetation activity;Periods-Years-Interaction;
"Ma D.; Yu Y.; Hui Y.; Kannenberg S.A.,";Compensatory response of ecosystem carbon-water cycling following severe drought in Southwestern China,;2023;10.1016/j.scitotenv.2023.165718;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165712878&doi=10.1016%2fj.scitotenv.2023.165718&partnerID=40&md5=93efc7ac458ff6256b777a41ef9a3634;Xavi;SI ;SI;Remote sensing;Vegetation activity;Observed-predicted;
"Ding Y.; Zhang L.; He Y.; Cao S.; Gusev A.; Guo Y.; Ran L.; Wei X.; Mikalai F.,";Nonlinear effects of agricultural drought on vegetation productivity in the Yellow River Basin, China,;2024;10.1016/j.scitotenv.2024.174903;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199315774&doi=10.1016%2fj.scitotenv.2024.174903&partnerID=40&md5=fe2033fdee602840396fe3b05924f110;Xavi;SI ;SI ;Remote sensing;Biomass stocks and fluxes;Other;
"Wu X.; Liu H.; Li X.; Ciais P.; Babst F.; Guo W.; Zhang C.; Magliulo V.; Pavelka M.; Liu S.; Huang Y.; Wang P.; Shi C.; Ma Y.,";Differentiating drought legacy effects on vegetation growth over the temperate Northern Hemisphere,;2018;10.1111/gcb.13920;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039702189&doi=10.1111%2fgcb.13920&partnerID=40&md5=86310802d8739ad2a5273969decac63a;Julen;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Wu X.; Liu H.; Li X.; Ciais P.; Babst F.; Guo W.; Zhang C.; Magliulo V.; Pavelka M.; Liu S.; Huang Y.; Wang P.; Shi C.; Ma Y.,";Differentiating drought legacy effects on vegetation growth over the temperate Northern Hemisphere,;2018;10.1111/gcb.13920;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039702189&doi=10.1111%2fgcb.13920&partnerID=40&md5=86310802d8739ad2a5273969decac63a;Julen;SI;SI;Remote sensing;Vegetation activity;Observed-predicted;
"Kannenberg S.A.; Novick K.A.; Alexander M.R.; Maxwell J.T.; Moore D.J.P.; Phillips R.P.; Anderegg W.R.L.,";Linking drought legacy effects across scales: From leaves to tree rings to ecosystems,;2019;10.1111/gcb.14710;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068458678&doi=10.1111%2fgcb.14710&partnerID=40&md5=a1c05ef0b33b91ee2e2fe70ee7cdbd59;Paloma;SI;SI;Field study;Physiology;Observed-predicted;
"Kannenberg S.A.; Novick K.A.; Alexander M.R.; Maxwell J.T.; Moore D.J.P.; Phillips R.P.; Anderegg W.R.L.,";Linking drought legacy effects across scales: From leaves to tree rings to ecosystems,;2019;10.1111/gcb.14710;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068458678&doi=10.1111%2fgcb.14710&partnerID=40&md5=a1c05ef0b33b91ee2e2fe70ee7cdbd59;Paloma;SI;SI;Remote sensing;Vegetation activity;Observed-predicted;
"Kannenberg S.A.; Novick K.A.; Alexander M.R.; Maxwell J.T.; Moore D.J.P.; Phillips R.P.; Anderegg W.R.L.,";Linking drought legacy effects across scales: From leaves to tree rings to ecosystems,;2019;10.1111/gcb.14710;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068458678&doi=10.1111%2fgcb.14710&partnerID=40&md5=a1c05ef0b33b91ee2e2fe70ee7cdbd59;Paloma;SI;SI;Eddy covariance;Biomass stocks and fluxes;Observed-predicted;
"Kannenberg S.A.; Novick K.A.; Alexander M.R.; Maxwell J.T.; Moore D.J.P.; Phillips R.P.; Anderegg W.R.L.,";Linking drought legacy effects across scales: From leaves to tree rings to ecosystems,;2019;10.1111/gcb.14710;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068458678&doi=10.1111%2fgcb.14710&partnerID=40&md5=a1c05ef0b33b91ee2e2fe70ee7cdbd59;Paloma;SI;SI;Dendrochronology;Tree growth;Observed-predicted;
"Klesse S.; Babst F.; Evans M.E.K.; Hurley A.; Pappas C.; Peters R.L.,";Legacy effects in radial tree growth are rarely significant after accounting for biological memory,;2023;10.1111/1365-2745.14045;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144050807&doi=10.1111%2f1365-2745.14045&partnerID=40&md5=2b82939753e538a1ea5d01d4a274c5f7;Xavi;SI ;SI;Dendrochronology;Tree growth;Observed-predicted;
